,index,neighborhood,lat,lon,Safety_Index
107,8257,90744,33.7855,-118.2645,1.5899871160944357
108,8270,90745,33.823,-118.2684,0.3536611988192878
109,8283,90810,33.8193,-118.2325,0.0666293453047405
110,8298,91030,34.1109,-118.1547,0.0100429508161592
111,8311,91040,34.2618,-118.3371,0.754701219283537
112,8324,91042,34.2544,-118.2849,0.641908451949193
113,8332,91105,34.1355,-118.1636,0.0020072508799091
114,8345,91201,34.1716,-118.2899,0.0493525904418027
115,8364,91204,34.1379,-118.2599,0.0632794628938162
116,8377,91205,34.1378,-118.2425,0.058591971264337
117,8390,91206,34.1556,-118.2322,0.0110490874123439
118,8401,91214,34.2316,-118.2457,0.0033465342026174
119,8415,91303,34.1993,-118.5983,1.6857877262719172
120,8428,91304,34.2197,-118.6111,0.8924900357320791
121,8441,91306,34.2092,-118.5749,1.147275295044116
122,8454,91307,34.1963,-118.6389,0.5900564240063857
123,8467,91311,34.2583,-118.5914,1.7749103349815445
124,8480,91316,34.1655,-118.5175,1.5314872205585348
125,8493,91324,34.2367,-118.5466,1.927128255128116
126,8506,91325,34.2353,-118.5188,1.1575074196296078
127,8519,91326,34.2619,-118.582,0.6646645497061612
128,8532,91328,34.2283,-118.5368,0.5581011239265644
129,8545,91330,34.2283,-118.5368,0.2280380972533977
130,8558,91331,34.2556,-118.4208,2.0597876164506848
131,8571,91335,34.2007,-118.5391,2.2915355285079846
132,8584,91340,34.2875,-118.4352,0.8562272656655969
133,8597,91342,34.3054,-118.4322,1.6030920034071363
134,8610,91343,34.2366,-118.4758,1.754471197372862
135,8623,91344,34.2771,-118.4992,1.708376413613547
136,8636,91345,34.2619,-118.4587,0.617876686827345
137,8649,91352,34.2209,-118.3699,2.373846207417486
138,8667,91356,34.1671,-118.5414,1.7429165305061955
139,8680,91364,34.1557,-118.6,1.1609510518731216
140,8693,91365,34.1683,-118.6059,0.2550531159765786
141,8706,91367,34.1767,-118.6159,1.734162639888143
142,8719,91371,34.1683,-118.6059,0.1536208194271081
143,8732,91401,34.1802,-118.4324,1.7527669593447155
144,8745,91402,34.2262,-118.447,2.7509950875087723
145,8758,91403,34.1514,-118.4603,1.4960313686939843
146,8771,91405,34.2001,-118.4456,1.9911794800366427
147,8784,91406,34.2006,-118.4868,2.5815975105401594
148,8797,91411,34.1781,-118.4574,1.4314795866435954
149,8810,91423,34.1526,-118.4322,1.3344233983510745
150,8823,91436,34.151,-118.4882,0.8971356747577236
151,8836,91504,34.2001,-118.3264,0.1396219604964991
152,8849,91505,34.169,-118.3442,0.0291277381647532
153,8860,91506,34.1717,-118.3231,0.0331455881328783
154,8873,91522,34.1808,-118.309,0.0323085360561856
155,8886,91601,34.1687,-118.3713,2.6142291486979485
156,8899,91602,34.151,-118.3663,0.4989449795625365
157,8912,91604,34.143,-118.3913,1.5256312042299924
158,8925,91605,34.2057,-118.4001,2.824394510009803
159,8938,91606,34.1872,-118.3865,2.264297853932404
160,8951,91607,34.1672,-118.3989,1.1202920842998494
161,8964,91608,34.1383,-118.3528,0.3549787187880021
162,8975,60031,42.3669,-87.9452,0.0
163,9023,90022,34.0245,-118.1561,0.0
164,9076,90081,34.0522,-118.2437,0.0
165,9124,90220,33.8748,-118.2402,0.0
166,9176,90222,33.9099,-118.2357,0.0
167,9216,90241,33.9416,-118.1306,0.0
168,9268,90249,33.8998,-118.3199,0.0
169,9310,90254,33.8643,-118.3955,0.0
170,9361,90255,33.9769,-118.2161,0.0
171,9412,90260,33.8879,-118.351,0.0
172,9463,90262,33.9241,-118.2013,0.0
173,9503,90265,34.0402,-118.7351,0.0
174,9541,90266,33.8896,-118.3996,0.0
175,9593,90270,33.989,-118.1877,0.0
176,9645,90274,33.7669,-118.3806,0.0
177,9731,90280,33.9462,-118.2013,0.0
178,9776,90302,33.9745,-118.3548,0.0
179,9835,90401,34.0176,-118.4907,0.0
180,9879,90403,34.0287,-118.4924,0.0
181,9934,90602,33.9693,-118.0337,0.0
182,9986,90603,33.9432,-117.9927,0.0
183,10038,90605,33.9413,-118.0356,0.0
184,10090,90621,33.8772,-117.9893,0.0
185,10142,90638,33.9067,-118.0101,0.0
186,10188,90640,34.0133,-118.113,0.0
187,10237,90650,33.9056,-118.0818,0.0
188,10288,90660,33.9886,-118.0883,0.0
189,10333,90670,33.9464,-118.0838,0.0
190,10381,90703,33.8669,-118.0686,0.0
191,10430,90704,33.332,-118.3437,0.0
192,10480,90706,33.8867,-118.1265,0.0
193,10532,90713,33.8473,-118.1115,0.0
194,10571,90723,33.8969,-118.1632,0.0
195,10636,90747,33.8671,-118.2538,0.0
196,10688,90755,33.8029,-118.1677,0.0
197,10733,90802,33.7706,-118.182,0.0
198,10780,90803,33.7619,-118.1341,0.0
199,10824,90804,33.7857,-118.1357,0.0
200,10873,90805,33.8635,-118.1801,0.0
201,10919,90806,33.8045,-118.1876,0.0
202,10970,90807,33.8315,-118.1811,0.0
203,11022,90808,33.8241,-118.1103,0.0
204,11059,90813,33.782,-118.1835,0.0
205,11102,90814,33.7716,-118.148,0.0
206,11147,90815,33.7939,-118.1192,0.0
207,11196,90822,33.7927,-118.1638,0.0
208,11247,90831,33.7678,-118.1994,0.0
209,11299,91001,34.1912,-118.1392,0.0
210,11350,91006,34.1324,-118.0264,0.0
211,11399,91010,34.1407,-117.9567,0.0
212,11451,91011,34.2217,-118.2051,0.0
213,11503,91016,34.144,-118.0014,0.0
214,11554,91102,34.1478,-118.1445,0.0
215,11606,91103,34.1669,-118.1551,0.0
216,11678,91106,34.1435,-118.1266,0.0
217,11730,91107,34.151,-118.0889,0.0
218,11747,91203,34.1517,-118.2636,0.0
219,11799,91208,34.1921,-118.235,0.0
220,11844,91210,34.1425,-118.2551,0.0
221,11896,91301,34.1227,-118.7573,0.0
222,11943,91302,34.1419,-118.6641,0.0
223,11983,91321,34.3795,-118.523,0.0
224,12033,91350,34.4336,-118.5007,0.0
225,12084,91351,34.4262,-118.449,0.0
226,12125,91355,34.3985,-118.5535,0.0
227,12177,91361,34.1472,-118.8383,0.0
228,12228,91384,34.4827,-118.6254,0.0
229,12279,91501,34.1862,-118.3009,0.0
230,12329,91502,34.1745,-118.3059,0.0
231,12395,91702,34.1248,-117.9031,0.0
232,12446,91706,34.0964,-117.9682,0.0
233,12494,91711,34.1092,-117.7183,0.0
234,12546,91723,34.086,-117.8843,0.0
235,12598,91724,34.0938,-117.856,0.0
236,12648,91731,34.0791,-118.0371,0.0
237,12700,91732,34.0705,-118.0149,0.0
238,12752,91741,34.1537,-117.8437,0.0
239,12797,91744,34.0289,-117.9373,0.0
240,12848,91748,33.9818,-117.8969,0.0
241,12900,91750,34.1159,-117.7708,0.0
242,12949,91754,34.0534,-118.1271,0.0
243,13000,91755,34.048,-118.115,0.0
244,13051,91766,34.0418,-117.7569,0.0
245,13101,91767,34.0812,-117.7362,0.0
246,13152,91768,34.0662,-117.7763,0.0
247,13204,91770,34.0658,-118.0853,0.0
248,13255,91773,34.1023,-117.8169,0.0
249,13305,91789,34.0183,-117.8546,0.0
250,13356,91790,34.0673,-117.9366,0.0
251,13407,91801,34.0914,-118.1293,0.0
252,13433,91803,34.0745,-118.1434,0.0
253,13485,92372,34.4429,-117.6403,0.0
254,13537,93063,34.3046,-118.6844,0.0
255,13589,93510,34.4835,-118.1959,0.0
256,13641,93534,34.6909,-118.1491,0.0
257,13690,93535,34.7131,-117.8783,0.0
258,13742,93536,34.7471,-118.3687,0.0
259,13792,93550,34.4133,-118.0917,0.0
260,13836,93551,34.6017,-118.231,0.0
261,13886,93552,34.5715,-118.0231,0.0
262,13938,93591,34.6019,-117.8123,0.0
