,index,neighborhood,lat,lon,Safety_Index
0,6887,90001,33.9731,-118.2479,0.8592925503704457
1,6900,90002,33.9497,-118.2462,2.091336109221233
2,6913,90003,33.9653,-118.2727,4.947749535268687
3,6926,90004,34.0762,-118.3029,2.918192891619836
4,6939,90005,34.0585,-118.3012,2.522451410801052
5,6952,90006,34.0493,-118.2917,3.858743109387305
6,6965,90007,34.0294,-118.2871,2.9599283081637355
7,6978,90008,34.0116,-118.3411,2.3725420802819994
8,6991,90009,34.0522,-118.2437,0.5497925450133124
9,7004,90010,34.0606,-118.3027,0.4798216878184146
10,7017,90011,34.0079,-118.2582,4.222132527441915
11,7030,90012,34.0614,-118.2385,2.2303353029726734
12,7043,90013,34.0448,-118.2434,4.082236013864261
13,7056,90014,34.0443,-118.2509,2.17497435272437
14,7069,90015,34.0434,-118.2716,2.305753695082688
15,7082,90016,34.0298,-118.3528,2.7482863869885947
16,7095,90017,34.0559,-118.2666,3.3006252444192063
17,7108,90018,34.029,-118.3152,2.1868604922134067
18,7121,90019,34.0482,-118.3343,3.12584542259746
19,7134,90020,34.0665,-118.3022,1.651734773687904
20,7147,90021,34.0333,-118.2447,2.4729096465899167
21,7160,90023,34.0245,-118.1975,1.8646908666234523
22,7173,90024,34.0637,-118.4408,1.2650250847766342
23,7186,90025,34.0447,-118.4487,2.450642387245737
24,7199,90026,34.0766,-118.2646,2.4627110040874927
25,7212,90027,34.104,-118.2925,2.336979085751633
26,7225,90028,34.1005,-118.3254,4.696181904139457
27,7238,90029,34.09,-118.2944,1.8321429336733328
28,7251,90031,34.0783,-118.2113,1.8835898284110209
29,7264,90032,34.0818,-118.1753,1.488827698521967
30,7277,90033,34.0487,-118.2084,2.644923848350271
31,7290,90034,34.029,-118.4005,1.9899942142960456
32,7303,90035,34.0531,-118.3806,0.7633998644645278
33,7316,90036,34.0699,-118.3492,1.80068149431876
34,7329,90037,34.003,-118.2863,4.175426695666615
35,7342,90038,34.0898,-118.3215,2.157357754718295
36,7355,90039,34.1121,-118.2594,0.7645282106639095
37,7368,90040,33.9909,-118.1532,0.0078666154167581
38,7381,90041,34.1339,-118.2082,0.8559878687716629
39,7394,90042,34.1145,-118.1929,1.5292656843469925
40,7407,90043,33.9871,-118.3321,1.864580375749329
41,7420,90044,33.9551,-118.2901,4.010860583284673
42,7433,90045,33.9631,-118.3941,1.85861219444251
43,7446,90046,34.1074,-118.3652,1.8808744314742296
44,7459,90047,33.9569,-118.3073,2.2202638923859066
45,7472,90048,34.0737,-118.372,1.574505000883927
46,7485,90049,34.066,-118.474,0.6640468052735621
47,7498,90052,34.0522,-118.2437,0.3071646300631606
48,7511,90053,34.0522,-118.2437,0.0080390481445568
49,7524,90056,33.9853,-118.3707,0.0187533147262237
50,7537,90057,34.0622,-118.2763,4.039415777828968
51,7550,90058,33.9994,-118.2133,0.9160279401286784
52,7563,90059,33.9293,-118.2463,2.1653850841337783
53,7576,90061,33.9245,-118.2716,2.128307025344597
54,7589,90062,34.0032,-118.3073,2.153885662704174
55,7602,90063,34.0451,-118.1859,0.2100364552920441
