,neighborhood,zillow_index
0,90011,2515.0
1,90650,2586.253968253968
2,91331,2849.75
3,90044,2434.711111111111
4,90201,1785.0
5,90250,2076.262896825397
6,90805,2006.452380952381
7,90280,1978.2222222222224
8,91342,2741.222222222222
9,91744,2625.0
10,93550,2548.9333333333334
11,90706,2094.444444444445
12,93535,2567.5238095238096
13,91335,2883.064713064713
14,90003,2524.266666666667
15,93536,2693.8444444444444
16,91706,2883.333333333333
17,91766,2719.833333333333
18,90026,2769.1412835249043
19,91402,1939.25
20,90262,2023.3333333333333
21,90037,2035.555555555556
22,91343,3520.555555555555
23,90660,1985.75
24,90640,2178.6666666666665
25,91702,2782.214285714286
26,90731,2615.7449735449736
27,90019,2715.97673992674
28,90004,2134.54970760234
29,90042,2581.6488095238096
30,90813,1792.7029914529917
31,90006,1941.8272727272729
32,93063,2919.8835978835978
33,91406,2211.4242424242425
34,90744,2065.277777777778
35,90066,2864.691017316017
36,93551,3122.1428571428573
37,91405,2271.5801282051284
38,91304,2412.0227272727275
39,90002,3092.5
40,91344,3568.1666666666665
41,91801,2449.3796296296296
42,91605,2101.611111111111
43,90723,2115.0
44,90063,2491.333333333333
45,90047,2831.2000000000003
46,90034,2652.764155558273
47,90018,2170.833333333333
48,91767,2260.8888888888887
49,90703,3214.988888888889
50,90046,2964.4275775775773
51,91306,3104.444444444444
52,90638,2869.7777777777774
53,90065,2705.777777777778
54,90027,2620.972709551657
55,90033,2301.333333333333
56,91790,2566.225
57,91352,4122.5
58,91789,3875.0
59,90247,2246.6666666666665
60,90032,2541.6666666666665
61,90057,1982.4059829059831
62,90025,3251.41182795699
63,90016,3335.293854293854
64,91350,3186.555555555555
65,93534,2448.4166666666665
66,90241,2438.8888888888887
67,90043,2205.1666666666665
68,91367,3093.8288464417496
69,90007,3102.199735449736
70,90024,3571.483273596177
71,91748,2765.347222222222
72,93552,2571.5
73,91311,3121.5793650793653
74,90501,2521.6666666666665
75,90278,3038.055555555555
76,90806,1843.8333333333333
77,90815,2467.3511904761904
78,91016,2603.2666666666664
79,90045,2910.3968393613554
80,91606,2470.428571428571
81,91401,2366.55925925926
82,90810,2295.0
83,90808,3065.833333333333
84,91355,2682.5300925925926
85,90275,4569.3
86,90301,2293.8888888888887
87,91321,2544.555555555556
88,90804,2151.550974658869
89,90036,3260.1653059988125
90,90012,2626.7537218281404
91,90505,3486.944444444445
92,90031,2554.722222222222
93,90020,2094.685185185185
94,91325,2408.8611111111118
95,91711,3130.416666666667
96,91001,2957.5
97,91205,2380.4069264069262
98,60031,1687.9047619047622
99,90802,2459.5464834515365
100,91326,4593.25
101,91601,2751.585754985755
102,91768,1647.5
103,90049,3905.471350762528
104,90062,1850.0
105,90260,2772.5
106,91006,3342.5
107,91754,2230.833333333333
108,90266,5041.537004662005
109,91750,2532.777777777778
110,91107,3025.0
111,90008,2098.3571428571427
112,90807,2173.055555555555
113,91773,2615.777777777778
114,90029,2206.4788359788363
115,91505,2973.708333333333
116,90230,3232.7546296296296
117,91214,2980.277777777778
118,91206,2828.1
119,91423,2842.485551485552
120,91604,3308.118686868687
121,91324,2827.6479072398192
122,90005,2506.0622074402563
123,90061,2877.0
124,91607,2727.9074074074074
125,90028,2938.2290899122804
126,91303,2708.5
127,91356,3202.5317460317456
128,91351,2771.5
129,91803,2486.6666666666665
130,91316,3119.536507936508
131,90713,3795.0
132,90039,3211.8994708994705
133,90302,2355.3
134,90041,3532.8
135,90017,2812.9197619047623
136,90038,2750.6821841604446
137,91364,3334.619047619048
138,90064,3503.6715506715504
139,91030,2468.444444444445
140,91755,2890.833333333333
141,91042,2533.333333333333
142,90035,3615.065217391304
143,90405,3299.128246753247
144,90803,2489.639048601897
145,90304,3012.0
146,91103,3543.281351981352
147,91504,2808.0793650793653
148,91301,3816.25
149,91302,3124.986904761905
150,90015,2884.6636077467483
151,91403,2725.375
152,91307,3935.0
153,90274,5000.0
154,90303,2294.0
155,91411,2366.922558922559
156,90291,4004.254997242901
157,91106,2548.2407407407404
158,90403,3661.523611111111
159,90602,1873.3333333333333
160,91201,2527.3611111111118
161,90404,3680.467049032839
162,91040,3339.5
163,90717,2823.333333333333
164,91011,4325.0
165,90069,4242.1054471843945
166,90068,3588.010859728507
167,91602,2691.548412698413
168,90272,10332.5
169,90670,2685.0
170,90732,3124.5
171,90048,3903.2815094000985
172,90292,3979.7956349206343
173,90210,13747.274928774928
174,90502,2837.1111111111118
175,91506,2306.910714285714
176,91501,2843.194444444445
177,90254,3813.624338624338
178,91203,3010.6552706552707
179,91361,3906.25
180,91204,2885.9078144078144
181,90814,2271.75
182,91723,2028.75
183,90245,2882.7380952380954
184,90265,11516.5
185,90232,3810.2698412698414
186,91436,6671.11111111111
187,91502,2616.333333333333
188,91208,4224.5
189,91105,4380.416666666667
190,90305,2600.4166666666665
191,90755,2739.444444444445
192,90013,2693.7411107983867
193,90293,3514.976190476191
194,90212,3471.9292929292933
195,90402,7151.75
196,90094,4432.269841269841
197,90010,2994.1181818181817
198,90211,3584.4666666666667
199,90077,13677.666666666666
200,90014,2896.9552734137137
201,90401,3731.981691919192
202,90021,2693.6111111111118
203,90067,11211.111111111111
